cat,group,date,oil,water,liquid,bhp,status,start_lag,coef,is_base
P1,P,0,-0.0016212793357458,0.0,-0.0016212793357458,20000000.0,1.0,19.0,0.42,False
P2,P,0,-0.0019034995257132,0.0,-0.0019034995257132,20000000.0,1.0,19.0,0.42,False
I1,I,0,,0.002533,0.002533,40189871.29720092,1.0,19.0,0.42,False
I2,I,0,,0.001267,0.001267,36654942.34321034,1.0,19.0,0.42,False
I3,I,0,,,,,0.0,19.0,0.42,False
P1,P,1,-0.001501636314723,0.0,-0.001501636314723,20000000.0,1.0,19.0,0.42,False
P2,P,1,-0.0017470400237067,0.0,-0.0017470400237067,20000000.0,1.0,19.0,0.42,False
I1,I,1,,0.002533,0.002533,40242918.4566048,1.0,19.0,0.42,False
I2,I,1,,0.001267,0.001267,36663866.639836974,1.0,19.0,0.42,False
I3,I,1,,,,,0.0,19.0,0.42,False
P1,P,2,-0.001492829541189,0.0,-0.001492829541189,20000000.0,1.0,19.0,0.42,False
P2,P,2,-0.0017249606375624,0.0,-0.0017249606375624,20000000.0,1.0,19.0,0.42,False
I1,I,2,,0.002533,0.002533,40580299.81507061,1.0,19.0,0.42,False
I2,I,2,,0.001267,0.001267,36899162.93818008,1.0,19.0,0.42,False
I3,I,2,,,,,0.0,19.0,0.42,False
P1,P,3,-0.001512521867102,0.0,-0.001512521867102,20000000.0,1.0,19.0,0.42,False
P2,P,3,-0.0017402735244416,0.0,-0.0017402735244416,20000000.0,1.0,19.0,0.42,False
I1,I,3,,0.002533,0.002533,40828910.958140165,1.0,19.0,0.42,False
I2,I,3,,0.001267,0.001267,37084216.90147405,1.0,19.0,0.42,False
I3,I,3,,,,,0.0,19.0,0.42,False
P1,P,4,-0.0015405344529416,0.0,-0.0015405344529416,20000000.0,1.0,19.0,0.42,False
P2,P,4,-0.0017687754075148,0.0,-0.0017687754075148,20000000.0,1.0,19.0,0.42,False
I1,I,4,,0.002533,0.002533,41008433.46151792,1.0,19.0,0.42,False
I2,I,4,,0.001267,0.001267,37226562.687533855,1.0,19.0,0.42,False
I3,I,4,,,,,0.0,19.0,0.42,False
P1,P,5,-0.0016533132031781,0.0,-0.0016533132031781,20000000.0,1.0,19.0,0.42,False
P2,P,5,-0.001768083750664,-6.397042410441913e-05,-0.0018320541747684,20000000.0,1.0,19.0,0.42,False
I1,I,5,,0.002533,0.002533,41577600.23982868,1.0,19.0,0.42,False
I2,I,5,,0.001267,0.001267,37735735.87040266,1.0,19.0,0.42,False
I3,I,5,,,,,0.0,19.0,0.42,False
P1,P,6,-0.0017244038092041,0.0,-0.0017244038092041,20000000.0,1.0,19.0,0.42,False
P2,P,6,-0.0015531762236197,-0.0004006694971408,-0.0019538457207606,20000000.0,1.0,19.0,0.42,False
I1,I,6,,0.002533,0.002533,41665651.06657715,1.0,19.0,0.42,False
I2,I,6,,0.001267,0.001267,37773621.47240812,1.0,19.0,0.42,False
I3,I,6,,,,,0.0,19.0,0.42,False
P1,P,7,-0.0017304310455429,-1.2936817230304054e-06,-0.0017317247272659,20000000.0,1.0,19.0,0.42,False
P2,P,7,-0.0013308473732824,-0.0008037862967118,-0.0021346336699943,20000000.0,1.0,19.0,0.42,False
I1,I,7,,0.002533,0.002533,41362394.10121459,1.0,19.0,0.42,False
I2,I,7,,0.001267,0.001267,37431027.234295,1.0,19.0,0.42,False
I3,I,7,,,,,0.0,19.0,0.42,False
P1,P,8,-0.0016151103437654,-8.223242448219831e-05,-0.0016973427682476,20000000.0,1.0,19.0,0.42,False
P2,P,8,-0.0011535169502616,-0.0011180412544051,-0.0022715582046667,20000000.0,1.0,19.0,0.42,False
I1,I,8,,0.002533,0.002533,40822330.69447494,1.0,19.0,0.42,False
I2,I,8,,0.001267,0.001267,36877466.37917666,1.0,19.0,0.42,False
I3,I,8,,,,,0.0,19.0,0.42,False
P1,P,9,-0.0014598217768642,-0.0002669317073136,-0.0017267534841778,20000000.0,1.0,19.0,0.42,False
P2,P,9,-0.0010072088577064,-0.0013311047175892,-0.0023383135752956,20000000.0,1.0,19.0,0.42,False
I1,I,9,,0.002533,0.002533,40081402.49140975,1.0,19.0,0.42,False
I2,I,9,,0.001267,0.001267,36153947.04298202,1.0,19.0,0.42,False
I3,I,9,,,,,0.0,19.0,0.42,False
P1,P,10,-0.0013117222820095,-0.0004381144091153,-0.0017498366911249,20000000.0,1.0,19.0,0.42,False
P2,P,10,-0.0008833080023865,-0.0014661838139207,-0.0023494918163073,20000000.0,1.0,19.0,0.42,False
I1,I,10,,0.002533,0.002533,39248949.67978458,1.0,19.0,0.42,False
I2,I,10,,0.001267,0.001267,35355668.99696228,1.0,19.0,0.42,False
I3,I,10,,,,,0.0,19.0,0.42,False
P1,P,11,-0.0011772157452207,-0.0005629723088268,-0.0017401880540475,20000000.0,1.0,19.0,0.42,False
P2,P,11,-0.000779954762752,-0.0015534607343648,-0.0023334154971168,20000000.0,1.0,19.0,0.42,False
I1,I,11,,0.002533,0.002533,38447910.15726566,1.0,19.0,0.42,False
